Task Name,Description,Status,Priority,Estimate,Tags,Dependencies,Acceptance Criteria
Frontend: company color coding on timeline,"Render combined activity timelines with clear company labels/colors and sorting/grouping options.",To Do,Medium,1d,"multi-org,activities,frontend","Frontend: combined activity timeline filters","Employees from different companies are visually distinguishable on the Activities page."
Backend: polling-friendly activity timeline performance,"Review indexes and query shape for frequent timeline refreshes over the current day.",To Do,High,1d,"activities,realtime,backend,performance","Technical design: real-time Activities updates","Timeline endpoint can support periodic refresh without excessive database load."
Frontend: auto-refresh Activities page,"Add automatic refresh to Activities page, likely every 15-30 seconds, without losing selected date/window/scroll state.",To Do,High,1d,"activities,realtime,frontend","Backend: polling-friendly activity timeline performance","Projector screen updates without manual refresh and preserves user view state."
Frontend: live mode indicator and controls,"Add live status indicator, last updated time, pause/resume refresh, and manual refresh action on Activities page.",To Do,Medium,1d,"activities,realtime,frontend","Frontend: auto-refresh Activities page","User can see whether the board is live and when data last refreshed."
Frontend: big-screen display mode,"Create projector-friendly mode for Activities page with dense timeline rows, larger labels, and reduced controls.",To Do,Medium,2d,"activities,frontend,ux","Frontend: auto-refresh Activities page","Activities page can be used on a large display without manual interaction."
Backend: WebSocket/SSE live activity event design,"Design event contract for pushing activity/session/usage updates to dashboards in near real time.",To Do,Medium,1d,"activities,realtime,backend,architecture","Frontend: auto-refresh Activities page","Event schema and auth model are documented."
Backend: implement live activity push channel,"Implement WebSocket or SSE channel for activity timeline events if phase 2 is approved.",To Do,Medium,3d,"activities,realtime,backend","Backend: WebSocket/SSE live activity event design","Authorized dashboard receives live activity update events."
Frontend: consume live activity push events,"Update Activities page to merge pushed activity events into the existing timeline graph.",To Do,Medium,3d,"activities,realtime,frontend","Backend: implement live activity push channel","Timeline grows live without waiting for full refetch."
QA: multi-org auth and access testing,"Test login, org switch, org creation, permissions, and cross-org denial cases.",To Do,Urgent,1d,"multi-org,qa","Frontend: add organization switcher to dashboard shell","Verified that users cannot access unauthorized organizations."
QA: combined timeline testing,"Test separate org timeline, combined timeline, company sorting, color labels, empty states, and date filters.",To Do,High,1d,"multi-org,activities,qa","Frontend: company color coding on timeline","Combined timeline works correctly for multiple companies."
QA: live Activities projector testing,"Test Activities page open for 30-60 minutes with no interaction and confirm data keeps updating.",To Do,High,1d,"activities,realtime,qa","Frontend: live mode indicator and controls","Timeline updates repeatedly without manual refresh or UI degradation."
Documentation: update AGENTS and local docs,"Document multi-org behavior, live Activities behavior, new APIs, and testing commands.",To Do,Medium,4h,"docs,ai-friendliness","QA: multi-org auth and access testing","Future AI/developers can understand the architecture and test flow."
Release: phased rollout and manager demo,"Prepare a staged rollout plan, demo script, known limitations, and rollback notes.",To Do,High,4h,"release,project-management","QA: live Activities projector testing","Manager can review separate org views, combined timeline, and live Activities behavior."
